"('Tyler Bates', '/bands/tyler-bates')","('15 concerts', None)","Tyler,Tyler"
"('Micah Tyler', '/bands/micah-tyler')","('192 concerts', None)","Tyler,Tyler"
"(""The B-52's"", '/bands/the-b-52-s')","('981 concerts', None)",The B‐52s
"('Glitter on the Mattress B-52s', '/bands/glitter-on-the-mattress-b-52s')","('1 concerts', None)",The B‐52s
"('Chaka Demus & Pliers', '/bands/chaka-demus-pliers')","('27 concerts', None)",Plies
"('As the Crow Flies', '/bands/as-the-crow-flies')","('21 concerts', None)",Plies
"('Plies', '/bands/plies')","('81 concerts', None)",Plies
"('Time Flies', '/bands/time-flies')","('10 concerts', None)",Plies
"('Catching Flies', '/bands/catching-flies')","('31 concerts', None)",Plies
"('The Flies', '/bands/the-flies')","('7 concerts', None)",Plies
"('The Horse Flies', '/bands/the-horse-flies')","('20 concerts', None)",Plies
"('Flies Are Spies From Hell', '/bands/flies-are-spies-from-hell')","('5 concerts', None)",Plies
"('Flies On You', '/bands/flies-on-you')","('4 concerts', None)",Plies
"('Flies on Fire', '/bands/flies-on-fire')","('12 concerts', None)",Plies
"('Battalion of Flies', '/bands/battalion-of-flies')","('2 concerts', None)",Plies
"('Pleistocene', '/bands/pleistocene')","('2 concerts', None)",Plies
"('Barking At Flies', '/bands/barking-at-flies')","('4 concerts', None)",Plies
"('Piles of Rhythm', '/bands/piles-of-rhythm')","('5 concerts', None)",Plies
"('Aeroplane Flies High', '/bands/aeroplane-flies-high')","('1 concerts', None)",Plies
"('Flies', '/bands/flies')","('1 concerts', None)",Plies
"('Gretchen Pluess', '/bands/gretchen-pluess')","('1 concerts', None)",Plies
"('Laura Jean and the Shoo Flies', '/bands/laura-jean-and-the-shoo-flies')","('1 concerts', None)",Plies
"('The Cluster Flies', '/bands/the-cluster-flies')","('3 concerts', None)",Plies
"('Fire Flies', '/bands/fire-flies')","('3 concerts', None)",Plies
"('Plimsouls', '/bands/plimsouls')","('1 concerts', None)",Plies
"('Devon Graves & The Flies Of Creation', '/bands/devon-graves-the-flies-of-creation')","('1 concerts', None)",Plies
"('Halo Of Flies', '/bands/halo-of-flies')","('1 concerts', None)",Plies
"('Piles', '/bands/piles')","('6 concerts', None)",Plies
"('The Fruit Flies', '/bands/the-fruit-flies')","('1 concerts', None)",Plies
"('Feeder', '/bands/feeder')","('545 concerts', None)",Feeder
"('The Feelers', '/bands/the-feelers')","('24 concerts', None)",Feeder
"('Casket Feeder', '/bands/casket-feeder')","('10 concerts', None)",Feeder
"('THE BOTTOM FEEDERS', '/bands/the-bottom-feeders')","('5 concerts', None)",Feeder
"('Feeder/Gainer', '/bands/feeder-gainer')","('2 concerts', None)",Feeder
"('Bottom Feeders', '/bands/bottom-feeders')","('5 concerts', None)",Feeder
"('The Bar Feeders', '/bands/the-bar-feeders')","('2 concerts', None)",Feeder
"('Coffin feeder', '/bands/coffin-feeder')","('3 concerts', None)",Feeder
