,artist,search_result,page_url,concert_count,l_score,rank
2463,Gin Blossoms,Gin Blossoms,bands/gin-blossoms,1336,0,1.0
2498,Bill Evans,Bill Evans,bands/bill-evans,76,0,1.0
2508,Sarah Brightman,Sarah Brightman,bands/sarah-brightman,378,0,1.0
2509,Hanson,Hanson,bands/hanson,1022,0,1.0
2534,Mr. Oizo,Mr. Oizo,bands/mr-oizo--2,93,0,1.0
2538,Bassnectar,BASSNECTAR,bands/bassnectar--4,918,9,1.0
2570,French Montana,French Montana,bands/french-montana,398,0,1.0
2571,Example,Example,bands/example,456,0,1.0
2583,Clipse,Clipse,bands/clipse,155,0,1.0
2611,Volbeat,Volbeat,bands/volbeat,1002,0,1.0
2620,Carly Simon,carly simon,bands/carly-simon,38,2,1.0
2623,The Starting Line,The Starting Line,bands/the-starting-line,686,0,1.0
2625,The Maine,The Maine,bands/the-maine--5,1549,0,1.0
2632,Emeli Sandé,Emeli Sandé,bands/emeli-sande--2,295,0,1.0
2637,Quantic,Quantic,bands/quantic,166,0,1.0
2649,Bauhaus,Bauhaus,bands/bauhaus,168,0,1.0
2658,Jerry Lee Lewis,Jerry Lee Lewis,bands/jerry-lee-lewis,366,0,1.0
2661,Jennifer Hudson,Jennifer Hudson,bands/jennifer-hudson,217,0,1.0
2662,India.Arie,India.Arie,bands/india-arie,347,0,1.0
2663,Eiffel 65,Eiffel 65,bands/eiffel-65,30,0,1.0
2664,De-Phazz,De-Phazz,bands/de-phazz,8,0,1.0
2667,The Drifters,the drifters,bands/the-drifters,213,2,1.0
2718,Howlin’ Wolf,"""Howlin Wolf""",bands/howlin-wolf--2,16,3,1.0
2720,Rooney,Rooney,bands/rooney,630,0,1.0
2745,Stevie Ray Vaughan and Double Trouble,Stevie Ray Vaughan And Double Trouble,bands/stevie-ray-vaughan-and-double-trouble,21,1,1.0
2747,Fink,Fink,bands/fink,96,0,1.0
2771,Jon Hopkins,Jon Hopkins,bands/jon-hopkins,343,0,1.0
2776,Armand van Helden,Armand Van Helden,bands/armand-van-helden,75,1,1.0
2778,Jeff Beck,Jeff Beck,bands/jeff-beck,841,0,1.0
2783,Travie McCoy,Travie McCoy,bands/travie-mccoy,155,0,1.0
2811,Fugazi,Fugazi,bands/fugazi,671,0,1.0
2821,Slowdive,Slowdive,bands/slowdive,207,0,1.0
2824,Guster,Guster,bands/guster,1084,0,1.0
2874,Gorilla Zoe,Gorilla Zoe,bands/gorilla-zoe,18,0,1.0
2875,The Pigeon Detectives,The Pigeon Detectives,bands/the-pigeon-detectives--3,362,0,1.0
2879,Don Omar,Don Omar,bands/don-omar,144,0,1.0
2881,Better Than Ezra,Better Than Ezra,bands/better-than-ezra,863,0,1.0
2883,Jesse McCartney,Jesse McCartney,bands/jesse-mccartney,443,0,1.0
2886,Lil Jon,Lil Jon,bands/lil-jon,604,0,1.0
2910,STRFKR,STRFKR,bands/strfkr,658,0,1.0
2914,Jill Scott,Jill Scott,bands/jill-scott,450,0,1.0
2922,Toots & The Maytals,Toots & The Maytals,bands/toots-the-maytals,809,0,1.0
2947,The Breeders,The Breeders,bands/the-breeders,461,0,1.0
2953,Maurice Ravel,Maurice Ravel,bands/maurice-ravel,2,0,1.0
2954,Chaka Khan,Chaka Khan,bands/chaka-khan,531,0,1.0
2963,MF DOOM,MF Doom,bands/mf-doom,38,3,1.0
2989,Porter Robinson,Porter Robinson,bands/porter-robinson,551,0,1.0
2996,ScHoolboy Q,ScHoolboy Q,bands/schoolboy-q--2,505,0,1.0
2998,The Sounds,The Sounds,bands/the-sounds,655,0,1.0
3023,Julian Casablancas,Julian Casablancas,bands/julian-casablancas,61,0,1.0
3028,The Devil Wears Prada,The Devil Wears Prada,bands/the-devil-wears-prada,1545,0,1.0
3030,Parkway Drive,Parkway Drive,bands/parkway-drive,1163,0,1.0
3059,Belinda Carlisle,Belinda Carlisle,bands/belinda-carlisle,278,0,1.0
3063,Cradle of Filth,Cradle of Filth,bands/cradle-of-filth,934,0,1.0
3064,The Lovin’ Spoonful,"""The Lovin Spoonful""",bands/the-lovin-spoonful,138,3,1.0
3067,Natalia Kills,Natalia Kills,bands/natalia-kills,121,0,1.0
3068,Ferry Corsten,Ferry Corsten,bands/ferry-corsten,374,0,1.0
3070,Gary Numan,Gary Numan,bands/gary-numan,672,0,1.0
3071,Spiritualized,Spiritualized,bands/spiritualized,533,0,1.0
3076,Above & Beyond,Above & Beyond,bands/above-beyond,636,0,1.0
3150,Kim Wilde,Kim Wilde,bands/kim-wilde,251,0,1.0
3153,George Ezra,George Ezra,bands/george-ezra,624,0,1.0
3154,Tom Odell,Tom Odell,bands/tom-odell,624,0,1.0
3155,All Saints,All Saints,bands/all-saints,115,0,1.0
3161,The Dave Brubeck Quartet,The Dave Brubeck Quartet,bands/the-dave-brubeck-quartet,23,0,1.0
3172,Mylo,Mylo,bands/mylo,67,0,1.0
3196,Shawn Mendes,Shawn Mendes,bands/shawn-mendes,609,0,1.0
3204,Chairlift,Chairlift,bands/chairlift,305,0,1.0
3207,Pretty Lights,Pretty Lights,bands/pretty-lights,639,0,1.0
3218,Gloria Gaynor,gloria gaynor,bands/gloria-gaynor,175,2,1.0
3221,Purity Ring,Purity Ring,bands/purity-ring,544,0,1.0
3224,Black Flag,Black Flag,bands/black-flag,588,0,1.0
3252,Jamie T,Jamie T,bands/jamie-t,253,0,1.0
3277,Frightened Rabbit,Frightened Rabbit,bands/frightened-rabbit,655,0,1.0
3303,Jadakiss,Jadakiss,bands/jadakiss,108,0,1.0
3332,Joan Baez,Joan Baez,bands/joan-baez,1276,0,1.0
3335,Robert Palmer,Robert Palmer,bands/robert-palmer,90,0,1.0
3337,Ziggy Marley,Ziggy Marley,bands/ziggy-marley,961,0,1.0
3340,Wilson Pickett,Wilson Pickett,bands/wilson-pickett,29,0,1.0
3341,Alex Clare,Alex Clare,bands/alex-clare,165,0,1.0
3343,Michael Nyman,Michael Nyman,bands/michael-nyman,11,0,1.0
3346,Stereolab,Stereolab,bands/stereolab,410,0,1.0
3348,Dispatch,Dispatch,bands/dispatch,346,0,1.0
3404,Soul Asylum,Soul Asylum,bands/soul-asylum,764,0,1.0
3405,Cute Is What We Aim For,Cute Is What We Aim For,bands/cute-is-what-we-aim-for--3,691,0,1.0
3456,Default,Default,bands/default,378,0,1.0
3492,Raekwon,Raekwon,bands/raekwon,321,0,1.0
3499,Hootie & the Blowfish,Hootie & the Blowfish,bands/hootie-the-blowfish,585,0,1.0
3521,Shout Out Louds,Shout Out Louds,bands/shout-out-louds,425,0,1.0
3523,Against Me!,Against Me!,bands/against-me,1442,0,1.0
3530,Electric Six,Electric Six,bands/electric-six,1265,0,1.0
3533,Stevie Nicks,Stevie Nicks,bands/stevie-nicks,529,0,1.0
3551,Pusha T,Pusha T,bands/pusha-t,461,0,1.0
3558,Afrojack,Afrojack,bands/afrojack,721,0,1.0
3563,Billy Currington,Billy Currington,bands/billy-currington,1022,0,1.0
3565,Amon Amarth,Amon Amarth,bands/amon-amarth,1017,0,1.0
3568,The Black Crowes,The Black Crowes,bands/the-black-crowes,1580,0,1.0
3577,Blue October,Blue October,bands/blue-october,1500,0,1.0
3594,Cassius,Cassius,bands/cassius,83,0,1.0
3615,Wheatus,Wheatus,bands/wheatus,358,0,1.0
3620,Anna Nalick,Anna Nalick,bands/anna-nalick,252,0,1.0
3623,10 Years,10 Years,bands/10-years,1244,0,1.0
3646,Squarepusher,Squarepusher,bands/squarepusher,143,0,1.0
3649,Chumbawamba,Chumbawamba,bands/chumbawamba,94,0,1.0
3654,She Wants Revenge,She Wants Revenge,bands/she-wants-revenge,623,0,1.0
3659,Hawthorne Heights,Hawthorne Heights,bands/hawthorne-heights,1672,0,1.0
3663,Christina Milian,Christina Milian,bands/christina-milian,35,0,1.0
3664,Milky Chance,Milky Chance,bands/milky-chance,666,0,1.0
3669,August Burns Red,August Burns Red,bands/august-burns-red,1829,0,1.0
3671,Mindless Self Indulgence,Mindless Self Indulgence,bands/mindless-self-indulgence,615,0,1.0
3674,The Everly Brothers,The Everly Brothers,bands/the-everly-brothers,374,0,1.0
3677,Radical Face,Radical Face,bands/radical-face,128,0,1.0
3678,Labrinth,Labrinth,bands/labrinth,169,0,1.0
3690,The Glitch Mob,The Glitch Mob,bands/the-glitch-mob,411,0,1.0
3691,George Strait,George Strait,bands/george-strait,536,0,1.0
3694,Mandy Moore,Mandy Moore,bands/mandy-moore,155,0,1.0
3721,Yazoo,Yazoo,bands/yazoo,15,0,1.0
3745,Ministry,Ministry,bands/ministry,1111,0,1.0
