concert_date,concert_set_name,venue_name,venue_location,artist_name (foreign_key)
20-Jun-17,Radiohead  Setlists,3Arena,"Dublin, Leinster, Ireland",Radiohead
20-Jun-17,Radiohead  Setlists,3 Arena,"Dublin, Leinster, Ireland",Radiohead
20-Jun-17,LIVE AT 3 ARENA Radiohead  Setlists,3Arena,"Dublin, Leinster, Ireland",Radiohead
20-Jun-17,Radiohead  Setlists,3Arena,"Dublin, Leinster, Ireland",Radiohead
18-Jun-17,Best Kept Secret Sunday 2017  Setlists,Safaripark Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
18-Jun-17,Best Kept Secret 2017 Kaleo / Fil Bo Riva / Ry X / Soulwax / James Blake / Radiohead  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
18-Jun-17,Best Kept Secret Festival 2017  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
18-Jun-17,Best Kept Secret 2017 Sunday Cass McCombs / Kaleo / Radiohead / Zeal & Ardor / Aurora  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
18-Jun-17,Best Kept Secret Festival 2017 (#BKS17) James Blake / Radiohead / Strand of Oaks / Kaleo  Setlists,Safaripark Beekse Bergen,"Hilvarenbeek, The Netherlands",Radiohead
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017 Radiohead / Arcade Fire / James Blake / George Ezra / Metronomy / Real Estate / Run The Jewels / Agnes Obel / Thundercat / Wild Beasts / Kaleo / Cloud Nothings / The Boxer Rebellion / Cass McCombs / Soulwax / Ry X / Cigarettes After Sex / King Gizzard & The Lizard Wizard / Her / Hundred Waters / The Japanese House / Whitney / Floating Points / Sundara Karma / American Football / Tei Shi / Joy Orbison / Mitski / Aurora (US) / Andy Shauf / Thomas Dybdahl / Arab Strap / Tall Heights / Honeyblood / Strand of Oaks / The Wytches / Laurel Halo / Joey Purp / Weval / Section Boyz / The Amazons / Jenny Hval / Froth / Girl Band / Thomas Azier / Leif Vollebekk / Yussef Kamaal / Kaitlyn Aurelia Smith / Marlon Williams / Chris Cohen / Kelly Lee Owens / Kikagaku Moyo / The Courtneys / Kadhja Bonet / Amber Arcades / Vatican Shadow / The Parrots / Fil Bo Riva / Kim Janssen / Kornél Kovács / Tommy Cash / Show Me The Body / Zeal and Ardor / SLØTFACE / The Mystery Lights / STUFF. / Mannequin Pussy / WILDES / Denis Sulta / Shye Ben Tzur / Yung Internet / Thurston Moore Group / Canshaker Pi / DJ Prime / Iguana Death Cult / Junun / Toxe / The Homesick (nl) Show all bands Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017 Radiohead / Arcade Fire / James Blake / George Ezra / Her / Cigarettes After Sex / Metronomy / Mitski / Kaleo / Thundercat / Real Estate / Run the Jewels / Agnes Obel / King Gizzard & The Lizard Wizard / Ry X / The Japanese House / Whitney / Cass McCombs / Wild Beasts / Cloud Nothings / Soulwax / Sundara Karma / The Boxer Rebellion / Floating Points / Hundred Waters / Tei Shi / Joey Purp / American Football / Andy Shauf / Tall Heights / Weval / The Amazons / Joy Orbison / Kikagaku Moyo / Kadhja Bonet / Arab Strap / Thomas Dybdahl / Leif Vollebekk / Strand of Oaks / Kelly Lee Owens / Jenny Hval / Honeyblood / Marlon Williams / Laurel Halo / Aurora (US) / Tommy Cash / Zeal & Ardor / The Wytches / Yussef Kamaal / Fil Bo Riva / Froth / Gilla Band / Mannequin Pussy / Show Me The Body / Section Boyz / Kaitlyn Aurelia Smith / Thomas Azier / Kornél Kovács / Denis Sulta / Chris Cohen / SLØTFACE / Amber Arcades / The Courtneys / The Mystery Lights / WILDES / The Parrots / Shye Ben Tzur / Vatican Shadow / STUFF. / Yung Internet / Kim Janssen / Thurston Moore Group / The Homesick / Iguana Death Cult / Canshaker Pi / Toxe / Junun / DJ Prime Show all bands Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
