Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary,
,,,,,,,,
Mike Oldfield,Michael Gordon Oldfield,1953|5|15,Reading,1967–present,Guitar|keyboards|percussion,Mike Oldfield,"<p class=""mw-empty-elt"">

</p>

<p><b>Michael Gordon Oldfield</b> (born 15 May 1953) is a British musician, songwriter, and producer best known for his debut studio album <i>Tubular Bells</i> (1973), which became an unexpected critical and commercial success. Though primarily a guitarist, Oldfield plays a range of instruments, which includes keyboards, percussion, and vocals. He has adopted a range of musical styles throughout his career, including progressive rock, world, folk, classical, electronic, ambient, and new age music.
</p><p>Oldfield took up the guitar at age ten and left school in his teens to embark on a music career. From 1967 to 1970, he and his sister Sally Oldfield were a folk duo The Sallyangie, after which he performed with Kevin Ayers. In 1971, Oldfield started work on <i>Tubular Bells</i> which caught the attention of Richard Branson, who agreed to release it on his new label, Virgin Records. Its opening was used in the horror film <i>The Exorcist</i> and the album went on to sell over 2.7 million copies in the UK. Oldfield followed it with <i>Hergest Ridge</i> (1974), <i>Ommadawn</i> (1975), and <i>Incantations</i> (1978), all of which feature longform and mostly instrumental pieces.
</p><p>In the late 1970s, Oldfield began to tour and release more commercial and song-based music, beginning with <i>Platinum</i> (1979), <i>QE2</i> (1980), and <i>Five Miles Out</i> (1982). His most successful album of this period was <i>Crises</i> (1983), which features the worldwide hit single ""Moonlight Shadow"" with vocalist Maggie Reilly. After signing with WEA in the early 1990s, Oldfield's most significant album of the decade was <i>Tubular Bells II</i> (1992) and he experimented with virtual reality and gaming content with his MusicVR project. In 2012, he performed at the opening ceremony for the 2012 Olympic Games held in London. Oldfield's discography includes 26 studio albums, nine of which have reached the UK top-ten. His most recent album is <i>Return to Ommadawn</i> (2017).
</p>


",
,,,,,,,,
Damian Marley,Damian Robert Nesta Marley,1978|7|21,Kingston,1992–present,,Damian Marley,"<p class=""mw-empty-elt"">

</p>

<p><b>Damian Robert Nesta</b> ""<b>Jr. Gong</b>"" <b>Marley</b> (born 21 July 1978) is a Jamaican DJ, singer, lyricist and rapper. He is the recipient of four Grammy Awards.</p>


",
,,,,,,,,
Daniel Powter,Daniel Richard Powter,1971|02|25,Vernon,,,Daniel Powter,"<p><b>Daniel Richard Powter</b> (<span></span>; born February 25, 1971) is a Canadian musician and a songwriter. He is best known for his self-penned hit song ""Bad Day"" (2005), which was top of the <i>Billboard</i> Hot 100 for five weeks.
</p>

",
,,,,,,,,
Tom Jones,Thomas John Woodward,1940|6|7,Treforest,1963–present,,Tom Jones (singer),"<p class=""mw-empty-elt"">


</p>
<p><b>Sir Thomas Jones Woodward</b>  (born 7 June 1940) is a Welsh singer. His career began with a string of top 10 hits in the 1960s and he has since toured regularly, with appearances in Las Vegas from 1967 to 2011. His voice has been described by AllMusic as a ""full-throated, robust baritone"".</p><p>Jones' performing range has included pop, R&amp;B, show tunes, country, dance, soul, and gospel. In 2008, the <i>New York Times</i> called him a ""musical shapeshifter [who could] slide from soulful rasp to pop croon, with a voice as husky as it was pretty"". He has sold over 100 million records, with 36 Top 40 hits in the UK and 19 in the US, including  ""It's Not Unusual"", ""What's New Pussycat?"", the theme song for the James Bond film <i>Thunderball</i> (1965), ""Green, Green Grass of Home"", ""Delilah"", ""She's a Lady"", ""Sex Bomb"", and a cover of Prince's ""Kiss"".</p><p>Jones has also occasionally dabbled in acting, first making his debut in the lead role of the television film <i>Pleasure Cove</i> (1979). He also appeared as himself in Tim Burton's film <i>Mars Attacks!</i> (1996). In 1970, he received a Golden Globe Award for Best Actor – Television Series Musical or Comedy nomination for hosting the television series <i>This Is Tom Jones</i>. In 2012, he played his first dramatic acting role in an episode of <i>Playhouse Presents</i>. He received a Grammy Award for Best New Artist in 1966, an MTV Video Music Award in 1989, and two Brit Awards: Best British Male in 2000 and Outstanding Contribution to Music in 2003. He received an OBE in 1998 and was knighted by Queen Elizabeth II in 2005 for services to music. He experienced a resurgence in popularity in the 2010s due to his role as a coach on the talent show <i>The Voice UK</i> (2012–present).
</p>


",
,,,,,,,,
Ginuwine,Elgin Baylor Lumpkin,1970|10|15,Washington,1991–present,,Ginuwine,"<p class=""mw-empty-elt"">
</p>
<p><b>Elgin Baylor Lumpkin</b> (born October 15, 1970), better known by his stage name  <b>Ginuwine</b>, is an American R&amp;B singer, songwriter, dancer, and actor. He began his career as a member of Swing Mob in the early 1990s. Signing to Epic Records as a solo artist in the mid-1990s, Ginuwine has released a number of multi-platinum and platinum-selling albums and singles, becoming one of R&amp;B's top artists during the late 1990s and early 2000s.  He had significant commercial success with his first four albums: <i>Ginuwine...The Bachelor</i> (2× Platinum), <i>100% Ginuwine</i> (2× Platinum), <i>The Life</i> (Platinum), and <i>The Senior</i> (Gold). According to <i>Billboard</i>, Ginuwine has sold roughly 10 million albums in the US. Ginuwine received the Urban Music Icon award at the 2021 Black Music Honors.
</p>

",
,,,,,,,,
Omarion,Omari Ishmael Grandberry,1984|11|12,Inglewood,1998–present,,Omarion,"<p class=""mw-empty-elt"">
</p>

<p><b>Omari Ishmael Grandberry</b> (born November 12, 1984), better known by his stage name <b>Omarion</b>, is an American R&amp;B singer, songwriter, actor and dancer. He rose to prominence as the lead singer of the boy band B2K. The group achieved success in the early 2000s with their singles ""Gots ta Be"", ""Uh Huh"", ""Girlfriend"", and the number-one hit ""Bump, Bump, Bump"".
</p><p>After the group disbanded in 2004, Omarion embarked on a solo career, with the release of his debut solo album, <i>O</i> (2005), which debuted at the top of the <i>Billboard</i> 200 chart. He was also featured on the single ""Let Me Hold You"" by Bow Wow, which reached the top 10 on the <i>Billboard</i> Hot 100. <i>O</i> received a Grammy Award nomination for Best Contemporary R&amp;B Album at the 48th Annual Grammy Awards.
</p><p>His second solo album, <i>21</i> (2006), became his second chart topper in the United States, and spawned the hit single ""Ice Box"". He released his third solo album, <i>Ollusion</i> in 2010. His fourth solo album, <i>Sex Playlist</i> (2014), spawned the single ""Post to Be"" (featuring Chris Brown and Jhené Aiko), which reached the top 20 on the <i>Billboard</i> Hot 100 and was certified 3× platinum by the Recording Industry Association of America (RIAA).</p><p>Omarion has also ventured into acting, with appearances in films such as <i>You Got Served</i>, <i>Fat Albert</i>, <i>Somebody Help Me</i> and <i>The Proud Family Movie</i>. As a solo artist, he has received a BET Award, a Billboard Music Award, and a Soul Train Music Award.
</p>


",
,,,,,,,,
Serj Tankian,,1967|08|21,Beirut,1992–present,Vocals|keyboards|piano|guitar,Serj Tankian,"<p class=""mw-empty-elt"">
</p>

<p><b>Serj Tankian</b> (born August 21, 1967) is an Armenian-American singer, musician, songwriter, political activist and entrepreneur. He is best known as the lead vocalist, primary lyricist, keyboardist, and occasional rhythm guitarist of heavy metal band System of a Down, which was formed in 1994.</p><p>Tankian has released five albums with System of a Down (<i>System of a Down</i>, <i>Toxicity</i>, <i>Steal This Album!</i>, <i>Mezmerize</i>, <i>Hypnotize</i>) and five solo albums (<i>Elect the Dead</i>, <i>Imperfect Harmonies</i>, <i>Harakiri</i>, <i>Orca</i>, <i>Jazz-Iz-Christ</i>), and <i>Elasticity</i>, as well as collaborating with musicians such as rapper Tech N9ne and folk singer Arto Tunçboyacıyan. He also released <i>Elect the Dead Symphony</i>, a live orchestral version of <i>Elect the Dead</i> featuring the Auckland Philharmonia Orchestra. He is the founder of the record label Serjical Strike Records, and is currently represented by Velvet Hammer Music and Management Group.
</p><p>Tankian is regarded as one of the best vocalists in heavy metal, with praise given to his unusual delivery and his wide vocal range. In 2006, he was ranked No. 26 on the <i>Hit Parader</i> list of ""Top 100 Heavy Metal Vocalists"". A study conducted by VVN Music found that Tankian possesses a high and diverse vocal range of 4.2 octaves. In 2002, he co-founded the non-profit political activism organization Axis of Justice, alongside guitarist and fellow activist Tom Morello. In 2011, he was awarded the Armenian Prime Minister's Medal for his contributions to the recognition of the Armenian genocide and the advancement of music.</p>",
,,,,,,,,
Pink,Alecia Beth Moore,1979|9|8,Doylestown Township,1995–present,,Pink (singer),"<p class=""mw-empty-elt"">

</p>
<p><b>Alecia Beth Moore Hart</b> (born September 8, 1979), known professionally as <b>Pink</b> (stylized as <b>P!nk</b>), is an American singer, songwriter, actress and dancer. She was originally a member of the girl group Choice. In 1995, LaFace Records saw potential in Pink and offered her a solo recording contract.
</p><p>Her R&amp;B-influenced debut studio album <i>Can't Take Me Home</i> (2000) was certified double-platinum in the United States and spawned two <i>Billboard</i> Hot 100 top-ten songs: ""There You Go"" and ""Most Girls"". She gained further recognition with the collaborative single ""Lady Marmalade"" from the <i>Moulin Rouge!</i> soundtrack, which topped many charts worldwide. Refocusing her sound to pop rock with her second studio album <i>Missundaztood</i> (2001), the album sold more than 13 million copies worldwide and yielded the international hit songs ""Get the Party Started"", ""Don't Let Me Get Me"", and ""Just Like a Pill"".
</p><p>While Pink's third studio album, <i>Try This</i> (2003), sold significantly less than her previous work, it earned her the Grammy Award for Best Female Rock Vocal Performance. She returned to the top of record charts with her fourth and fifth studio albums, <i>I'm Not Dead</i> (2006) and <i>Funhouse</i> (2008), which spawned the top-ten entries ""Who Knew"" and ""U + Ur Hand"", as well as the number-one single ""So What"". Pink's sixth studio album, <i>The Truth About Love</i> (2012), was her first <i>Billboard</i> 200 number-one album and spawned her fourth US number-one single, ""Just Give Me a Reason"". In 2014, Pink recorded a collaborative album, <i>Rose Ave.</i>, with Canadian musician Dallas Green under a folk music duo named You+Me. Her next studio albums, <i>Beautiful Trauma</i> (2017) and <i>Hurts 2B Human</i> (2019), both debuted at atop the <i>Billboard</i> 200 chart, with the former becoming the world's third best-selling album of the year.
</p><p>Pink is regarded as “Pop Royalty” for her distinctive raspy voice and acrobatic stage presence. Pink has sold over 135 million records worldwide (60 million albums and 75 million singles), making her one of the world's best-selling music artists.  Her accolades include three Grammy Awards, two Brit Awards, a Daytime Emmy Award and seven MTV Video Music Awards, including the Michael Jackson Video Vanguard Award. In 2009, <i>Billboard</i> named Pink the Pop Songs Artist of the Decade. Pink was also the second most-played female solo artist in the United Kingdom during the 2000s decade, behind only Madonna. VH1 ranked her at number ten on their list of the 100 Greatest Women in Music, while <i>Billboard</i> awarded her the Woman of the Year award in 2013. At the 63rd annual BMI Pop Awards, she received the BMI President's Award for ""her outstanding achievement in songwriting and global impact on pop culture and the entertainment industry.""</p>",
,,,,,,,,
Macy Gray,Natalie Renée McIntyre,1967|9|6,Canton,1990–present,,Macy Gray,"<p class=""mw-empty-elt"">
</p>

<p><b>Natalie Renée McIntyre</b> (born September 6, 1967), known by her stage name <b>Macy Gray</b>, is an American R&amp;B and soul singer and actress. She is known for her distinctive raspy voice and a singing style heavily influenced by Billie Holiday.</p><p>Gray has released ten studio albums, and received five Grammy Award nominations, winning one. She has appeared in a number of films, including <i>Training Day</i>, <i>Spider-Man</i>, <i>Scary Movie 3</i>, <i>Lackawanna Blues</i>, <i>Idlewild</i>, <i>For Colored Girls</i>, and <i>The Paperboy</i>. Gray is best known for her international hit single ""I Try"", taken from her multi-platinum debut album <i>On How Life Is</i>.</p>


",
,,,,,,,,
Jem,Jemma Gwynne Griffiths,1975|05|18,Penarth,1998–present,"Vocals, piano",Jem (singer),"<p class=""mw-empty-elt"">

</p>

<p><b>Jemma Griffiths</b> (born 18 May 1975), known by her stage name <b>Jem</b>, is a Welsh singer, songwriter, and record producer.
</p><p>Born and raised in Penarth, Wales, she began songwriting at an early age. After graduating from university in 1996, she worked as a DJ as well as co-founder of record label Marine Parade in Brighton. By 2002 she was focused heavily on writing and singing her own songs, collaborating with various producers in the United States such as Guy Sigsworth, Yoad Nevo, and Ge-Ology to help create what would become her debut studio album: <i>Finally Woken</i>, released on 24 March 2004 through ATO Records. Popularised by singles ""They"", ""Just a Ride"" and ""Wish I"", the album garnered generous sales and chart performance in the United States, Canada, Japan and Europe. Jem followed up her successful debut with her second album, <i>Down to Earth</i>, released on 18 September 2008. Her third album, <i>Beachwood Canyon</i>, was released in 2016.
</p>


",
,,,,,,,,
Stevie Ray Vaughan,Stephen Ray Vaughan,1954|10|3,Dallas,1965–1990,,Stevie Ray Vaughan,"<p class=""mw-empty-elt"">

</p>
<p><b>Stephen Ray Vaughan</b> (October 3, 1954 – August 27, 1990) was an American musician, best known as the guitarist and frontman of the blues rock trio Stevie Ray Vaughan and Double Trouble. Although his mainstream career spanned only seven years, he is regarded as one of the most influential musicians in the history of blues music, and one of the greatest guitarists of all time. He was the younger brother of guitarist Jimmie Vaughan.
</p><p>Born and raised in Dallas, Vaughan began playing guitar at age seven, initially inspired by his elder brother, Jimmie Vaughan. In 1972, he dropped out of high school and moved to Austin, where he began to gain a following after playing gigs on the local club circuit. Vaughan joined forces with Tommy Shannon on bass and Chris Layton on drums as Double Trouble in 1978 and established it as part of the Austin music scene; it soon became one of the most popular acts in Texas. He performed at the Montreux Jazz Festival in 1982, where David Bowie saw him play. Bowie contacted him for a studio gig that resulted in Vaughan playing blues guitar on the album <i>Let's Dance</i> (1983), before being discovered by John Hammond who interested major label Epic Records in signing Vaughan and his band to a record deal. Within months, they achieved mainstream success for the critically acclaimed debut album <i>Texas Flood</i>. With a series of successful network television appearances and extensive concert tours, Vaughan became the leading figure in the blues revival of the 1980s.
Playing his guitar behind his back or plucking the strings with his teeth as Jimi Hendrix did, he earned fame in Europe, which later resulted in breakthroughs for guitar players like Robert Cray, Jeff Healey, Robben Ford, and Walter Trout, amongst others.
</p><p>During the majority of his life, Vaughan struggled with alcoholism and drug addiction. He also struggled with the personal and professional pressures of fame and his marriage to Lenora ""Lenny"" Bailey. He successfully completed rehabilitation and began touring again with Double Trouble in November 1986. His fourth and final studio album <i>In Step</i> reached number 33 in the United States in 1989; it was one of Vaughan's most critically and commercially successful releases and included his only number-one hit, ""Crossfire"". He became one of the world's most highly demanded blues performers, and he headlined Madison Square Garden in 1989 and the Beale Street Music Festival in 1990.
</p><p>On August 27, 1990, Vaughan and four others were killed in a helicopter crash in East Troy, Wisconsin, after performing with Double Trouble at Alpine Valley Music Theatre. An investigation concluded that the cause of the accident was pilot error and Vaughan's family later filed a wrongful death lawsuit against Omniflight Helicopters which was settled out of court. Vaughan's music continued to achieve commercial success with several posthumous releases and has sold over 15 million albums in the United States alone. In 2003, David Fricke of <i>Rolling Stone</i> ranked him the seventh greatest guitarist of all time. Vaughan was posthumously inducted into the Rock and Roll Hall of Fame in 2015, along with Double Trouble bandmates Chris Layton, Tommy Shannon, and Reese Wynans.
</p>",
,,,,,,,,
Talib Kweli,Talib Kweli Greene,1975|10|3,Brooklyn,1997–present,,Talib Kweli,"<p class=""mw-empty-elt"">
</p>

<p><b>Talib Kweli Greene</b> (<span></span>; born October 3, 1975) is an American rapper. He earned recognition early on through his collaboration with fellow Brooklyn rapper Mos Def in 1997, when they formed the group Black Star. Kweli's musical career continued with solo success including collaborations with producers and rappers Kanye West, Just Blaze, and Pharrell Williams. His most recent album, <i>Gotham</i>, was released in 2020. In 2011, Kweli founded his own record label, Javotti Media.
</p>",
,,,,,,,,
Muddy Waters,McKinley Morganfield,1913|04|04,Issaquena County,1941–1982,"* Vocals
* guitar
* harmonica",Muddy Waters,"<p class=""mw-empty-elt"">
</p>

<p><b>McKinley Morganfield</b> (April 4, 1913  – April 30, 1983), known professionally as <b>Muddy Waters</b>,  was an American blues singer and musician who was an important figure in the post-war blues scene, and is often cited as the ""father of modern Chicago blues"". His style of playing has been described as ""raining down Delta beatitude"".</p><p>Muddy Waters grew up on Stovall Plantation near Clarksdale, Mississippi, and by age 17 was playing the guitar and the harmonica, emulating the local blues artists Son House and Robert Johnson. He was recorded in Mississippi by Alan Lomax for the Library of Congress in 1941. In 1943, he moved to Chicago to become a full-time professional musician. In 1946, he recorded his first records for Columbia Records and then for Aristocrat Records, a newly formed label run by the brothers Leonard and Phil Chess.
</p><p>In the early 1950s, Muddy Waters and his band—Little Walter Jacobs on harmonica, Jimmy Rogers on guitar, Elga Edmonds (also known as Elgin Evans) on drums and Otis Spann on piano—recorded several blues classics, some with the bassist and songwriter Willie Dixon. These songs included ""Hoochie Coochie Man,"" ""I Just Want to Make Love to You"" and ""I'm Ready"". In 1958, he traveled to England, laying the foundations of the resurgence of interest in the  blues there. His performance at the Newport Jazz Festival in 1960 was recorded and released as his first live album, <i>At Newport 1960</i>.
</p><p>Muddy Waters' music has influenced various American music genres, including rock and roll and rock music.
</p>


",
,,,,,,,,
John Lee Hooker,,1912|08|22,Tutwiler,1930s–2001,"*Guitar
*vocals",John Lee Hooker,"<p class=""mw-empty-elt"">
</p>

<p><b>John Lee Hooker</b> (August 22, 1912 or 1917 – June 21, 2001) was an American blues singer, songwriter, and guitarist. The son of a sharecropper, he rose to prominence performing an electric guitar-style adaptation of Delta blues. Hooker often incorporated other elements, including talking blues and early North Mississippi hill country blues. He developed his own driving-rhythm boogie style, distinct from the 1930s–1940s piano-derived boogie-woogie. Hooker was ranked 35 in <i>Rolling Stone</i><span>'</span>s 2015 list of 100 greatest guitarists.</p><p>Some of his best known songs include ""Boogie Chillen'"" (1948), ""Crawling King Snake"" (1949), ""Dimples"" (1956), ""Boom Boom"" (1962), and ""One Bourbon, One Scotch, One Beer"" (1966). Several of his later albums, including <i>The Healer</i> (1989), <i>Mr. Lucky</i> (1991), <i>Chill Out</i> (1995), and <i>Don't Look Back</i> (1997), were album chart successes in the U.S. and UK. <i>The Healer</i> (for the song ""I'm In The Mood"") and <i>Chill Out</i> (for the album) both earned him Grammy wins as well as <i>Don't Look Back</i>, which went on to earn him a double-Grammy win for Best Traditional Blues Recording and Best Pop Collaboration with Vocals (with Van Morrison).</p>


",
,,,,,,,,
Aloe Blacc,Egbert Nathaniel Dawkins III,1979|1|7,Laguna Hills,1995–present,Vocals,Aloe Blacc,"<p class=""mw-empty-elt"">
</p>
<p><b>Egbert Nathaniel Dawkins III</b> (born January 7, 1979), known professionally by his stage name <b>Aloe Blacc</b> (<span></span>), is an American singer, songwriter and rapper. He is best known for his singles ""I Need a Dollar"", ""The Man"", which topped the charts in the United Kingdom, and for writing and performing vocals on Avicii's ""Wake Me Up"", which topped the charts in 22 countries, including Australia and the United Kingdom. Aside from his solo career, Blacc is also a member of hip hop duo Emanon, alongside American record producer Exile.
</p>


",
,,,,,,,,
Ashanti,Ashanti Shequoiya Douglas,1980|10|13,Glen Cove,2001–present,,Ashanti (singer),"<p class=""mw-empty-elt"">

</p>

<p><b>Ashanti Shequoiya Douglas</b> (born October 13, 1980) is an American singer and actress. She was first discovered as a teenager and later signed to Murder Inc. Records in 2002. That year, she was featured on Fat Joe's ""What's Luv?"" and Ja Rule's ""Always on Time"", both of which became two of the biggest hit songs of 2002. She became the first female artist to occupy the top two positions on the U.S. <i>Billboard</i> Hot 100 chart simultaneously with ""Foolish"" and ""What's Luv?"" at numbers one and two, respectively.
</p><p>In 2002, Ashanti released her eponymous debut album, which sold over 505,000 copies throughout the U.S. in its first week of release. The album earned her many awards, including eight <i>Billboard</i> Music Awards, two American Music Awards, and a Grammy Award in 2003 for Best Contemporary R&amp;B Album. The album has since been certified triple platinum in the United States and sold six million copies worldwide by the end of 2003. The lead single for the album, ""Foolish"", was a critical and commercial success; it reached number one on the <i>Billboard</i> Hot 100. With ""Foolish"", she became the second artist (after The Beatles) to have their first three chart entries in the top ten of the <i>Billboard</i> Hot 100 simultaneously. Ashanti wrote and provided background vocals for Jennifer Lopez's ""Ain't It Funny (Murder Remix)"", which also reached number one on the <i>Billboard</i> Hot 100.</p><p>In 2003, Ashanti released her second album, <i>Chapter II</i>, which debuted at number one on the <i>Billboard</i> 200, with first-week sales of 326,000 copies in the U.S. The album went platinum, selling over 1.5  a million copies in the U.S. since its release. The album's singles, ""Rock wit U (Awww Baby)"" and ""Rain on Me"", were both commercial successes, peaking at number two and number seven on the <i>Billboard</i> Hot 100 chart, respectively. <i>Chapter II</i> was nominated for a Grammy Award for Best Contemporary R&amp;B Album, and ""Rock wit U (Awww Baby)"" and ""Rain on Me"" were each nominated in the categories of Best R&amp;B Song and Best Female R&amp;B Vocal Performance. In November 2003, Ashanti released a Christmas album titled <i>Ashanti's Christmas</i>, which was a modest commercial success.
</p><p>In 2004, Ashanti released her third studio album, <i>Concrete Rose</i>, the title of which took on Tupac Shakur's pseudonym ""The Rose That Grew from Concrete"". The album debuted at number seven in the U.S., with first-week sales of 254,000 copies, and became her third platinum-certified album. The first single, ""Only U"", reached number thirteen on the <i>Billboard</i> Hot 100 and became her biggest hit in the United Kingdom, peaking at number two. A second single, the ballad ""Don't Let Them"", garnered little chart success after Def Jam refused to fund a music video due to Irv Gotti's legal troubles during his money laundering trial. Her subsequent albums include <i>The Declaration</i> (2008) and <i>Braveheart</i> (2014), the latter of which was released independently, on Ashanti's record label, Written Entertainment.
</p><p>Aside from music, Ashanti has also acted in various productions. In 2005, she made her feature film debut in <i>Coach Carter</i> alongside Samuel L. Jackson. She also starred as Dorothy Gale in the made-for-television film <i>The Muppets' Wizard of Oz</i>, which attracted nearly 8 million viewers when it premiered. She has since appeared in the films <i>John Tucker Must Die</i> (2006) and <i>Resident Evil: Extinction</i> (2007). Throughout her career, Ashanti has sold nearly 15 million records worldwide.</p>


",
,,,,,,,,
Obie Trice,Obie Trice III,1977|11|14,Detroit,1998–present,,Obie Trice,"<p class=""mw-empty-elt"">
</p>

<p><b>Obie Trice III</b> (born November 14, 1977) is an American rapper. He was signed to fellow Detroit rapper Eminem's Shady Records in 2002, where he released the albums <i>Cheers</i> (2003) and <i>Second Round's on Me</i> (2006). Trice formed his own record label, Black Market Entertainment, upon leaving Shady. He does not use a rap name like most rappers, instead using his birth name on stage.</p>",
,,,,,,,,
Matisyahu,Matthew Paul Miller,1979|06|30,West Chester,2000–present,"* Vocals
* [[beatboxing]]",Matisyahu,"<p class=""mw-empty-elt"">
</p>

<p><b>Matthew Paul Miller</b> (born June 30, 1979), known by his stage name <b>Matisyahu</b> (<span></span>; <span dir=""rtl"">מתּתיהו</span>‎), is an American reggae singer, rapper, beatboxer, and alternative rock musician.
</p><p>Known for blending spiritual themes with reggae, rock and hip hop beatboxing sounds, Matisyahu's 2005 single ""King Without a Crown"" was a Top 40 hit in the United States. Since 2004, he has released seven studio albums as well as five live albums, two remix CDs and two DVDs featuring live concerts. Throughout his career, Matisyahu has worked with Bill Laswell and reggae producers Sly &amp; Robbie and Kool Kojak. In addition, Matisyahu has appeared as an actor in films.
</p>",
,,,,,,,,
Bow Wow,Shad Gregory Moss,1987|3|9,Columbus,1993–present,,Bow Wow (rapper),"<p class=""mw-empty-elt"">


</p>

<p><b>Shad Gregory Moss</b> (born March 9, 1987), better known by his stage name <b>Bow Wow</b> (formerly <b>Lil' Bow Wow</b>), is an American rapper and actor. His career began upon being discovered by rapper Snoop Dogg in the late 1990s, eventually being brought to record producer Jermaine Dupri and signed to So So Def Recordings. As Lil' Bow Wow, he released his first album at age 13, <i>Beware of Dog</i>, in 2000, which was followed by <i>Doggy Bag</i> a year later.
</p><p>In 2003, Bow Wow released his third album <i>Unleashed</i>, which was the first album released after dropping the ""Lil'"" from his stage name, and the first not to be released by So So Def. His next album, <i>Wanted</i> (2005), spawned his two highest-charting singles, ""Let Me Hold You"" (featuring Omarion) and ""Like You"" (featuring Ciara). In September 2015, Bow Wow signed a management deal with Puff Daddy's Bad Boy Records.</p><p>Bow Wow made his first movie appearance in the 2002 movie <i>All About the Benjamins</i> as a cameo. In the same year, Bow Wow made his debut as the lead role in <i>Like Mike</i>. He later began to undertake lead roles in movies, such as <i>Johnson Family Vacation</i> in 2004 and <i>Roll Bounce</i> in 2005. He also played a supporting role in the film <i>The Fast and the Furious: Tokyo Drift</i> in 2006, a character he reprised in <i>F9</i> (2021). Bow Wow also appeared in five episodes of the television series <i>Entourage</i>, and starred as Brody Nelson in <i>CSI: Cyber</i> until the show's cancellation in 2016.
</p>


",
,,,,,,,,
George Frideric Handel,Georg Friedrich Händel,1685|3|5,Halle (Saale),,,George Frideric Handel,"<p class=""mw-empty-elt"">

</p>
<p><b>George Frideric</b> (or <b>Frederick</b>) <b>Handel</b> (<span></span>; baptised <span title=""German-language text""><span lang=""de""><b>Georg Friedrich Händel</b></span></span>, <small>German: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""de-Latn-fonipa"">[ˈɡeːɔʁk ˈfʁiːdʁɪç ˈhɛndl̩]</span> <span></span>; 23 February 1685 – 14 April 1759) was a German-British Baroque composer well known for his operas, oratorios, anthems, concerti grossi, and organ concertos. Handel received his training in Halle and worked as a composer in Hamburg and Italy before settling in London in 1712, where he spent the bulk of his career and became a naturalised British subject in 1727. He was strongly influenced both by the middle-German polyphonic choral tradition and by composers of the Italian Baroque. In turn, Handel's music forms one of the peaks of the ""high baroque"" style, bringing Italian opera to its highest development, creating the genres of English oratorio and organ concerto, and introducing a new style into English church music. He is consistently recognized as one of the greatest composers of his age.</p><p>Handel started three commercial opera companies to supply the English nobility with Italian opera. In 1737, he had a physical breakdown, changed direction creatively, and addressed the middle class and made a transition to English choral works. After his success with <i>Messiah</i> (1742), he never composed an Italian opera again. His orchestral <i>Water Music</i> and <i>Music for the Royal Fireworks</i> remain steadfastly popular. One of his four coronation anthems, <i>Zadok the Priest</i>, has been performed at every British coronation since 1727. Almost blind, he died in 1759, a respected and rich man, and was given a state funeral at Westminster Abbey.
</p><p>Handel composed more than forty opere serie over a period of more than thirty years. Since the late 1960s, interest in Handel's music has grown. The musicologist Winton Dean wrote that ""Handel was not only a great composer; he was a dramatic genius of the first order."" His music was admired by Classical-era composers, including Mozart, Haydn and Beethoven.
</p>


",
,,,,,,,,
Suzanne Vega,Suzanne Nadine Peck,1959|7|11,Santa Monica,1982–present,,Suzanne Vega,"<p class=""mw-empty-elt"">
</p>

<p><b>Suzanne Nadine Vega</b> (<span title=""Name at birth"">née </span> <b>Peck</b>; born July 11, 1959) is an American singer-songwriter best known for her folk-inspired music. Vega's music career spans almost 40 years. She came to prominence in the mid-1980s, releasing four singles that entered the Top 40 charts in the UK during the 1980s and 1990s, including ""Marlene on the Wall"", ""Left of Center"", ""Luka"" and ""No Cheap Thrill"". ""Tom's Diner"", which was originally released as an <i>a cappella</i> recording on Vega's second studio album, <i>Solitude Standing</i> (1987), was remixed in 1990 as a dance track by English electronic duo DNA with Vega as featured artist, and it became a Top 10 hit in over five countries. The original <i>a cappella</i> recording of the song was used as a test during the creation of the MP3 format. <span id=""MP3""></span>The role of her song in the development of the MP3 compression prompted Vega to be given the title of ""The Mother of the MP3"".</p><p>Vega has released nine studio albums to date, the latest of which is <i>Lover, Beloved: Songs from an Evening with Carson McCullers</i>, released in 2016.
</p>",
,,,,,,,,
Miguel,Miguel Jontel Pimentel,1985|10|23,Los Angeles,2000–present,,Miguel (singer),"<p class=""mw-empty-elt"">
</p>


<p><b>Miguel Jontel Pimentel</b> (born October 23, 1985) is an American singer, songwriter, and actor.  Raised in San Pedro, California, he began pursuing a music career at age thirteen. After signing to Jive Records in 2007, Miguel released his debut studio album, <i>All I Want Is You</i>, in November 2010. Although it was underpromoted upon its release, the album became a sleeper hit and helped Miguel garner commercial standing.</p><p>After Jive's dissolution in 2011, he moved to RCA Records and released his second studio album, <i>Kaleidoscope Dream</i>, in 2012 to critical acclaim. In June 2015, Miguel released his third album, <i>Wildheart</i>, which also received critical acclaim. His fourth studio album, <i>War &amp; Leisure</i>, was released in 2017 to further acclaim. Miguel incorporates R&amp;B, funk, hip hop, pop, rock and electronic styles into his music, and has been compared to vocalists Babyface and Prince.
</p>",
,,,,,,,,
