Band,Origin,Years Active,Page Title,Summary
Enigma,"Germany<ref name=""Billboard: Casebook Enigma""/>
",1990–present,Enigma (German band),"<p class=""mw-empty-elt"">
</p>

<p><b>Enigma</b> is a German musical project founded in 1990 by Romanian-German musician and producer Michael Cretu. Cretu had released several solo records, collaborated with various artists, and produced albums for his then-wife, German pop singer Sandra, before he conceived the idea of a new-age, worldbeat project. He recorded the first Enigma studio album, <i>MCMXC a.D.</i> (1990), with contributions from David Fairstein and Frank Peterson. The album remains Enigma's most successful, helped by the international hit single ""Sadeness (Part I)"", which sold twelve million units alone. According to Cretu, the inspiration for the creation of the project came from his desire to make a kind of music that did not obey ""the old rules and habits"" and presented a new form of artistic expression with mystic and experimental components.</p><p>Enigma followed <i>MCMXC a.D.</i> with a series of albums that involved several musicians and producers working with Cretu. The first was <i>The Cross of Changes</i> (1993), which incorporated tribal and ethnic influences and sold over eight million copies worldwide, followed by <i>Le Roi Est Mort, Vive Le Roi!</i> (1996), which blended the Gregorian chants reminiscent of the first album with the strong intercultural soundscapes present in the second. Enigma's fourth album <i>The Screen Behind the Mirror</i> (2000) started a slight departure from the previous world music themes towards a heavier electronic atmosphere. This evolution culminated with <i>Voyageur</i> (2003), its fifth and more pop-based album, and <i>A Posteriori</i> (2006), a work inspired by the future collision between the Milky Way and Andromeda galaxies, with distinct operatic tones and an electronic spectrum closer to <i>Voyageur</i> than the earlier releases. <i>Seven Lives Many Faces</i> (2008) followed and contained a mixture of classical and modern elements ranging from ethnic chants to rap and dubstep influences. Its eighth album, <i>The Fall of a Rebel Angel</i>, was released in November 2016.</p><p>Enigma has sold over 8.5 million RIAA-certified albums in the US and an estimated 70 million worldwide with over 100 gold and platinum certifications. The project has also received three Grammy Award nominations.</p>"
Flyleaf,Belton,,Flyleaf (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Flyleaf</b> is an American rock band formed in Belton, Texas, in 2002. The band has charted on mainstream rock, Christian pop, and Christian metal genres. They performed around the US in 2003 before releasing their eponymous debut album, <i>Flyleaf</i>, in 2005. The album went platinum after selling more than one million copies. Flyleaf released their second album, <i>Memento Mori</i>, in 2009, which debuted and peaked at No. 8 on the Billboard charts.
</p><p>Shortly before the release of their third album, <i>New Horizons</i> (2012), lead vocalist Lacey Sturm announced her departure. Kristen May subsequently became the new lead vocalist. May sang with the band until August 2016. After a period of inactivity for several years, Sturm returned to the band in November 2022.</p>"
Echo & The Bunnymen,Liverpool,"1978–1993, 1996–present",Echo & the Bunnymen,"<p class=""mw-empty-elt"">

</p>
<p><b>Echo &amp; the Bunnymen</b> are an English rock band formed in Liverpool in 1978. The original line-up consisted of vocalist Ian McCulloch, guitarist Will Sergeant and bassist Les Pattinson. By 1980, Pete de Freitas joined as the band's drummer.
</p><p>Their 1980 debut album <i>Crocodiles</i> went into the top 20 of the UK Albums Chart. After releasing their second album <i>Heaven Up Here</i> in 1981, the band's cult status was followed by mainstream success in the UK in 1983 when they scored a UK Top 10 hit with ""The Cutter"", and the album which the song came from, <i>Porcupine</i>, hit number 2 in the UK. <i>Ocean Rain</i> (1984), continued the band's UK chart success with its lead single ""The Killing Moon"" entering into the top 10.
</p><p>After they released a self-titled album in 1987, McCulloch left the band and was replaced by singer Noel Burke. In 1989, de Freitas was killed in a motorcycle accident. After working together as Electrafixion, McCulloch and Sergeant regrouped with Pattinson in 1997 and returned as Echo &amp; the Bunnymen, before Pattinson's departure in 1998. The band has done some touring and released several albums since the late 1990s to varying degrees of success.
</p>"
Five Finger Death Punch,Las Vegas,2005–present,Five Finger Death Punch,"<p class=""mw-empty-elt"">


</p>
<p><b>Five Finger Death Punch</b>, also abbreviated as <b>5FDP</b> or <b>FFDP</b>, is an American heavy metal band from Las Vegas, Nevada, formed in 2005. The band originally consisted of vocalist and keyboardist Ivan Moody, rhythm guitarist Zoltan Bathory, lead guitarist Caleb Andrew Bingham, bassist Matt Snell, and drummer Jeremy Spencer. Bingham was replaced by guitarist Darrell Roberts in 2006, who was then replaced by Jason Hook in 2009. Bassist Matt Snell departed from the band in 2010, and was replaced by Chris Kael in 2011. Spencer then departed the band in 2018 due to recurring back issues, and was replaced by Charlie Engen, making rhythm guitarist Bathory the only remaining founding member of the band. In October 2020, British guitarist Andy James became the band's lead guitarist, replacing Jason Hook.
</p><p>Five Finger Death Punch's debut album <i>The Way of the Fist</i> was released in 2007, which began achieving rapid success and selling over 500,000 copies in the United States. The 2009 follow-up album <i>War Is the Answer</i> further increased their popularity, selling over 1,000,000 copies and got certified Platinum by the RIAA, the band's third album, <i>American Capitalist</i>, was released on October 11, 2011, and achieved Platinum status. The following four albums—<i>The Wrong Side of Heaven and the Righteous Side of Hell, Volume 1</i> (2013), <i>The Wrong Side of Heaven and the Righteous Side of Hell, Volume 2</i> (2013), <i>Got Your Six</i> (2015), and <i>And Justice for None</i> (2018)—have all been certified Platinum and Gold, making Five Finger Death Punch one of the most successful heavy metal bands of the decade. The band has played international music festivals including Mayhem Festival in 2008, 2010, and 2013, and Download Festival in 2009, 2010, 2013, 2015, and 2017. The band released their eighth studio album, <i>F8</i>, in 2020.
</p><p>Five Finger Death Punch are the recipients of the RadioContraband Rock Radio Awards for ""Indie Artist of the Year"" in 2011, 2012, 2013, and 2014. They were also honored with the Radio Contraband Rock Radio Award for Album (<i>American Capitalist</i>) and Song of the Year (""Coming Down"") in 2012 and ""Video of the Year"" for ""Wrong Side of Heaven"" in 2014.
</p><p>To date, Five Finger Death Punch has released nine studio albums, one live album, two compilation albums, one extended play (EP), and 33 singles.
</p>"
Primal Scream,Glasgow,1982–present,Primal Scream,"<p class=""mw-empty-elt"">

</p>
<p><b>Primal Scream</b> are a Scottish rock band originally formed in 1982 in Glasgow by Bobby Gillespie (vocals) and Jim Beattie. The band's current lineup consists of Gillespie, Andrew Innes (guitar), Simone Butler (bass), and Darrin Mooney (drums). Barrie Cadogan has toured and recorded with the band since 2006 as a replacement after the departure of guitarist Robert ""Throb"" Young.
</p><p>Primal Scream had been performing live from 1982 to 1984, but their career did not take off until Gillespie left his position as drummer of The Jesus and Mary Chain. The band were a key part of the mid-1980s indie pop scene, but eventually moved away from their jangly sound, taking on more psychedelic and garage rock influences, before incorporating a dance music element to their sound with their 1991 album <i>Screamadelica</i>, which broke them into the mainstream. The band have continued to explore different styles on subsequent albums, experimenting with blues, trip hop and industrial rock. Their most recent album, <i>Chaosmosis</i>, was released on 18 March 2016.
</p>"
Trivium,Orlando,1999–present,Trivium (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Trivium</b> is an American heavy metal band from Orlando, Florida, formed in 1999. The band comprises vocalist and guitarist Matt Heafy, guitarist Corey Beaulieu, bassist Paolo Gregoletto, and drummer Alex Bent.</p><p>The band's debut album <i>Ember to Inferno</i> was their only album released through Lifeforce Records in 2003. In 2004, they were signed to Roadrunner Records where they have stayed ever since. The band has released ten studio albums and over twenty singles to date. Their tenth studio album, <i>In the Court of the Dragon</i>, was released in 2021. The band has sold over one million albums worldwide and was nominated for a Grammy for the song ""Betrayer"" at the 61st Annual Grammy Awards in 2019 for Best Metal Performance.
</p>"
Chicago,,,Chicago,"<p class=""mw-empty-elt"">


</p>
<p><b>Chicago</b> (<span> <span></span></span> <i title=""English pronunciation respelling"">shih-<span>KAH</span>-goh</i>, <span><small>locally also </small></span> <i title=""English pronunciation respelling"">shih-<span>KAW</span>-goh</i>; Miami-Illinois: <i lang=""mia"">Shikaakwa</i>; Ojibwe: <i lang=""oj"">Zhigaagong</i>) is the most populous city in the U.S. state of Illinois and the third most populous in the United States after New York City and Los Angeles. With a population of 2,746,388 in the 2020 census, it is also the most populous city in the Midwest. As the seat of Cook County (the second-most populous U.S. county), the city is the center of the Chicago metropolitan area, one of the largest in the world.
</p><p>On the shore of Lake Michigan, Chicago was incorporated as a city in 1837 near a portage between the Great Lakes and the Mississippi River watershed. It grew rapidly in the mid-19th century; by 1860, Chicago was the youngest U.S. city to exceed a population of 100,000. The Great Chicago Fire in 1871 destroyed several square miles and left more than 100,000 homeless, but Chicago's population continued to grow to 503,000 by 1880 and then doubled to more than a million within the decade. The construction boom accelerated population growth throughout the following decades, and by 1900, less than 30 years after the fire, Chicago was the fifth-largest city in the world. Chicago made noted contributions to urban planning and zoning standards, including new construction styles (such as Chicago School architecture, the development of the City Beautiful Movement, and the steel-framed skyscraper).</p><p>Chicago is an international hub for finance, culture, commerce, industry, education, technology, telecommunications, and transportation. It is the site of the creation of the first standardized futures contracts, issued by the Chicago Board of Trade, which today is part of the largest and most diverse derivatives market in the world, generating 20% of all volume in commodities and financial futures alone. O'Hare International Airport is routinely ranked among the world's top six busiest airports according to tracked data by the Airports Council International. The region also has the largest number of federal highways and is the nation's railroad hub. The Chicago area has one of the highest gross domestic products (GDP) in the world, generating $689 billion in 2018. The economy of Chicago is diverse, with no single industry employing more than 14% of the workforce. It is home to several <i>Fortune</i> 500 companies, including Archer-Daniels-Midland, Conagra Brands, Exelon, JLL, Kraft Heinz, McDonald's, Mondelez International, Motorola Solutions, Sears, and United Airlines Holdings.</p><p>Chicago's 58 million tourist visitors in 2018 set a new record. Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, Art Institute of Chicago, Museum Campus, Willis (Sears) Tower, Grant Park, Museum of Science and Industry, and Lincoln Park Zoo. Chicago is also home to the Barack Obama Presidential Center being built in Hyde Park on the city's South Side. Chicago's culture includes the visual arts, literature, film, theater, comedy (especially improvisational comedy), food, dance (including modern dance and jazz troupes and the Joffrey Ballet), and music (particularly jazz, blues, soul, hip-hop, gospel, and electronic dance music, including house music). Chicago is also the location of the Chicago Symphony Orchestra and the Lyric Opera of Chicago. Of the area's colleges and universities, the University of Chicago, Northwestern University, and the University of Illinois Chicago are classified as ""highest research"" doctoral universities. Chicago has professional sports teams in each of the major professional leagues, including two Major League Baseball teams.
</p>


"
Lamb of God,,,Lamb of God,"<p><b>Lamb of God</b> (Greek: <span lang=""el"">Ἀμνὸς τοῦ Θεοῦ</span>, <small>romanized: </small><span title=""Greek-language romanization""><i lang=""el-Latn"">Amnòs toû Theoû</i></span>; Latin: <i lang=""la"">Agnus Dei</i>, <small>Ecclesiastical Latin: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""la-Latn-fonipa"">[ˈaɲ.ɲus ˈde.i]</span>) is a title for Jesus that appears in the Gospel of John. It appears at John 1:29, where John the Baptist sees Jesus and exclaims, ""Behold the Lamb of God who takes away the sin of the world."" It appears again in John 1:36.
</p><p>Christian doctrine holds that a divine Jesus chose to suffer crucifixion at Calvary as a sign of his full obedience to the will of his divine Father, as an ""agent and servant of God"" in carrying away the sins of the world. In Christian theology the <i>Lamb of God</i> is viewed as both foundational and integral to the message of Christianity.</p><p>A lion-like lamb that rises to deliver victory after being slain appears several times in the Book of Revelation. It is also referred to in Pauline writings; 1 Corinthians 5:7 suggests that Saint Paul intends to refer to the death of Jesus, who is the Paschal Lamb, using the theme found in Johannine writings. In Genesis 22, the binding of Isaac foretells the Gospel of Jesus Christ, when Isaac asked his father Abraham ""where is the lamb for the burnt offering"" to which Abraham responded ""God himself will provide the lamb for the burnt offering, my son."" (Genesis 22:7-8).  However, it was a Ram (not a Lamb) that was ultimately sacrificed in Isaac's place, and the Ram was caught in a thicket (i.e. thornbush). (Genesis 22:13). The lamb metaphor is also in line with Psalm 23, which depicts God as a shepherd leading his flock (mankind).
</p><p>The Lamb of God title is widely used in Christian prayers. The Latin version, Agnus Dei, and translations are a standard part of the Catholic Mass, as well as the classical Western Liturgies of the Anglican and Lutheran churches. It is also used in liturgy and as a form of contemplative prayer. The <span title=""Latin-language text""><i lang=""la"">Agnus Dei</i></span> also forms a part of the musical setting for the Mass.
</p><p>As a visual motif the lamb has been most often represented since the Middle Ages as a standing haloed lamb with a foreleg cocked ""holding"" a pennant with a red cross on a white ground, though many other ways of representing it have been used.
</p>"
Hooverphonic,Sint-Niklaas,1995–present,Hooverphonic,"<p><b>Hooverphonic</b> is a Belgian band that formed in October 1995. Though originally categorized as a trip hop group, they quickly expanded their sound to the point where they could no longer be described as a singular genre, but rather encompass alternative, electronica, electropop, rock, and a mixture of others. The band originally called themselves Hoover, but later changed their name to Hooverphonic after discovering other groups were already using the Hoover name and to avoid any legal issues with the vacuum cleaner company.
</p><p>Since their formation, Hooverphonic's lineup consisted of bassist Alex Callier, guitarist Raymond Geerts, and various lead singers. Prominent ones included Liesje Sadonius (1996–1997), Geike Arnaert (1997–2008, 2020–present), Noémie Wolfs (2010–2015), and Luka Cruysberghs (2018–2020).
</p><p>The band were set to represent Belgium at the Eurovision Song Contest 2020 in Rotterdam with their song ""Release Me"". However, on March 18, 2020, the event was cancelled due to the COVID-19 pandemic. They instead represented Belgium in the Eurovision Song Contest 2021 with the song ""The Wrong Place"".
</p>"
Broken Bells,Los Angeles,2009&ndash;present,Broken Bells,"<p class=""mw-empty-elt"">
</p>
<p><b>Broken Bells</b> is an American indie rock band composed of artist-producer Brian Burton (better known as Danger Mouse) and James Mercer, the lead vocalist and guitarist for the indie rock band The Shins. Broken Bells compose and create as a duo, but are joined by Dan Elkan and Jon Sortland when performing live.  The previous live band included Conor Oberst and the Mystic Valley Band sidemen Nate Walcott and Nik Freitas, and Jonathan Hischke and Dan Elkan, both ex-members of Hella. Following their 2010 self-titled debut album, the duo released an EP, <i>Meyrin Fields</i>, in 2011 and their second studio album, <i>After the Disco</i>, in 2014.
</p>

"
Rilo Kiley,Los Angeles,1998–2013,Rilo Kiley,"<p><b>Rilo Kiley</b> (<span></span> <i title=""English pronunciation respelling""><span>RY</span>-loh <span>KY</span>-lee</i>) was an American indie rock band  based in Los Angeles, California. Formed in 1998, the band consisted of Jenny Lewis, Blake Sennett, Pierre de Reeder, and Dave Rock.
</p><p>The group released their debut album <i>Take-Offs and Landings</i> under Seattle-based independent label Barsuk Records in 2001.  After that, they released three additional studio albums and several EPs. In 2007, they were signed with Warner Bros., and subsequently made their major-label debut with the album <i>Under the Blacklight</i>.</p>"
Ladytron,Liverpool,1999–present,Ladytron,"<p class=""mw-empty-elt"">

</p>
<p><b>Ladytron</b> are an English electronic band formed in Liverpool in 1999. The group consists of Helen Marnie (lead vocals, synthesizers), Mira Aroyo (vocals, synthesizers), Daniel Hunt (synthesizers, guitar, vocals), and Reuben Wu (synthesizers). They have released seven studio albums: <i>604</i> (2001), <i>Light &amp; Magic</i> (2002), <i>Witching Hour</i> (2005), <i>Velocifero</i> (2008), <i>Gravity the Seducer</i> (2011), <i>Ladytron</i> (2019) and <i>Time's Arrow</i> (2023). They also issued the live album <i>Live at London Astoria 16.07.08</i> in 2009 and the compilation album <i>Best of 00–10</i> in 2011. They have produced remixes for artists such as Dave Gahan, Erasure, Goldfrapp, Apoptygma Berzerk, Placebo, Blondie, Gang of Four, Christina Aguilera, Nine Inch Nails, Bloc Party, Kings of Convenience, Soulwax and Róisín Murphy.
</p><p>The band's name was taken from the song ""Ladytron"" by Roxy Music. Former Roxy Music member Brian Eno said in 2009, ""Ladytron are, for me, the best of English pop music. They're the kind of band that really only appears in England, with this funny mixture of eccentric art-school dicking around and dressing up, with a full awareness of what's happening everywhere musically, which is kind of knitted together and woven into something quite new."" Ladytron described their sound as ""electronic pop"", while music journalists have also described their sound as synth-pop, electronic rock, post-punk, and new wave, among other genres. Some of the group's songs contain lyrics written by Aroyo in her native Bulgarian.
</p>"
The Stooges,Ann Arbor,,The Stooges,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p><b>The Stooges</b>, originally billed as the <b>Psychedelic Stooges</b>, also known as <b>Iggy and the Stooges</b>, were an American rock band formed in Ann Arbor, Michigan, in 1967 by singer Iggy Pop, guitarist Ron Asheton, drummer Scott Asheton, and bassist Dave Alexander. Initially playing a raw, primitive style of rock and roll, the band sold few records in their original incarnation and gained a reputation for their confrontational performances, which often involved acts of self-mutilation by Iggy Pop.</p><p>After releasing two albums – <i>The Stooges</i> (1969) and <i>Fun House</i> (1970) – the group disbanded briefly, and reformed with an altered lineup (with Ron Asheton replacing Dave Alexander on bass and James Williamson taking up guitar) to release a third album, <i>Raw Power</i> (1973), before breaking up again in 1974. The band reunited in 2003 with Ron Asheton moving back to guitar and Mike Watt on bass, and the addition of saxophonist Steve Mackay, who had played briefly with the 1973–1974 lineup. Ron Asheton died in 2009 and was replaced by James Williamson, and the band continued to play shows until 2013, when they also released their last album, <i>Ready to Die</i>. The Stooges formally announced their breakup in 2016 due to the deaths of Scott Asheton and saxophonist Steve Mackay.
</p><p>The Stooges are widely regarded as a seminal proto-punk act. The band was inducted into the Rock and Roll Hall of Fame in 2010. In 2004, <i>Rolling Stone</i> ranked them 78th on their list of the 100 greatest artists of all time. In 2007, they were awarded the Mojo Lifetime Achievement Award at the Mojo Awards.</p>"
Jane’s Addiction,Los Angeles,,Jane's Addiction,"<p class=""mw-empty-elt"">
</p>
<p><b>Jane's Addiction</b> is an American rock band from Los Angeles, formed in 1985. The band consists of vocalist Perry Farrell, guitarist Dave Navarro, drummer Stephen Perkins and bassist Eric Avery. Jane's Addiction was one of the first bands from the early 1990s alternative rock movement to gain both mainstream media attention and commercial success in the United States. 
</p><p>Founded by Farrell and Avery, following the disintegration of Farrell's previous band Psi Com, Jane's Addiction's first release was a self-titled live album, <i>Jane's Addiction</i> (1987), which caught the attention of Warner Bros. Records. The band's first two studio albums, <i>Nothing's Shocking</i> (1988) and <i>Ritual de lo Habitual</i> (1990), were released to widespread critical acclaim, and an increasing cult fanbase. As a result, Jane's Addiction became icons of what Farrell dubbed the ""Alternative Nation"". The band's initial farewell tour, in 1991, launched the first Lollapalooza, which has since become a perennial alternative rock festival.
</p><p>In 1997, the band reunited with Flea of the Red Hot Chili Peppers replacing Avery on bass guitar for a one-off tour. In 2001, a second reunion took place, with Martyn LeNoble—and later Chris Chaney—occupying the role of bass guitarist. In 2003, the band released its third studio album, <i>Strays</i>, before dissolving again the following year. In 2008, the band's original line-up reunited and embarked on a world tour. Avery acrimoniously left the band in early 2010, as the group began working on new material. In 2011, the band released its fourth studio album, <i>The Great Escape Artist</i>, with Chaney returning to the band for its recording and subsequent tour.
</p><p>Between the years of 2012 and 2022, the band remained active with occasional tours and performances honouring their legacy. In August 2022, Avery rejoined the band after a twelve-year absence, ahead of a joint tour with the Smashing Pumpkins. Due to ongoing struggles with long COVID, Navarro was replaced by Queens of the Stone Age guitarist Troy Van Leeuwen for the duration of the tour. As the three-piece of Farrell, Avery and Perkins began working on new material, Navarro remained absent from the band. Josh Klinghoffer was announced as his touring replacement in 2023.
</p>"
Trapt,Los Gatos,1995–present,Trapt,"<p class=""mw-empty-elt"">

</p>
<p><b>Trapt</b> is an American rock band formed in Los Gatos, California. Eight studio albums have been recorded to date: <i>Amalgamation</i> (1999), <i>Trapt</i> (2002), <i>Someone in Control</i> (2005), <i>Only Through the Pain</i> (2008), <i>No Apologies</i> (2010), <i>Reborn</i> (2013), <i>DNA</i> (2016), and <i>Shadow Work</i> (2020). Its lineup for all studio recordings have consisted of Chris Taylor Brown (vocals) and bassist Pete Charell (bass), with various members filling other roles over the course of their career.
</p><p>Trapt's biggest commercial success was their 2002 debut single, ""Headstrong"", which became a crossover hit to the pop charts and peaked at number 16 on the <i>Billboard</i> Hot 100. Though the band's subsequent releases did not match the pop appeal of ""Headstrong"", the band was able to maintain a presence in the rock market throughout the decade.
</p>"
My Morning Jacket,Louisville,1998–present,My Morning Jacket,"<p class=""mw-empty-elt"">
</p>
<p><b>My Morning Jacket</b> is an American rock band formed in Louisville, Kentucky in 1998. The band consists of vocalist/guitarist Jim James, bassist Tom Blankenship, drummer Patrick Hallahan, guitarist Carl Broemel, and keyboardist Bo Koster. The band's sound, rooted in rock and country, is often experimental and psychedelic. The group amassed a following beginning in the 2000s in part due to their live performances.
</p><p>The group first found success in Europe after the release of its debut album, <i>The Tennessee Fire</i> (1999). Its next release, <i>At Dawn</i> (2001), led to a large stateside following and preceded several lineup changes. After signing to major label ATO Records, the group released two albums, <i>It Still Moves</i> (2003) and <i>Z</i> (2005), with the latter representing a critical breakthrough. The group's next release, <i>Evil Urges</i> (2008), was more polarizing for fans and critics, while <i>Circuital</i> (2011), its sixth album, saw a more measured response. The band's seventh album, <i>The Waterfall</i>, was released in 2015, followed by <i>The Waterfall II</i> in 2020 and <i>My Morning Jacket</i> in 2021.
</p>"
Hinder,Oklahoma City,2001–present,Hinder,"<p class=""mw-empty-elt"">
</p>


<p><b>Hinder</b> is an American rock band from Oklahoma City, Oklahoma, formed in 2001 by lead singer Austin John Winkler, guitarist Joe ""Blower"" Garvey, and drummer Cody Hanson with bassist Mike Roden and guitarist Mark King joining in 2003, solidifying the line-up. The band released four studio albums with Winkler; <i>Extreme Behavior</i> (2005), <i>Take It to the Limit</i> (2008), <i>All American Nightmare</i> (2010) and <i>Welcome to the Freakshow</i> (2012).  Cody Hanson, along with former lead singer Austin Winkler, wrote the majority of the band's music on their first four albums. After Winkler left the band in 2013, they looked for a new lead vocalist, and added Marshal Dutton. They have since released <i>When the Smoke Clears</i> (2015) and <i>The Reign</i> (2017) with their new vocalist. Their seventh studio album is currently in the works. The band was inducted into the Oklahoma Music Hall of Fame in 2007.
</p>"
Joshua Radin,,,Joshua Radin,"<p class=""mw-empty-elt"">
</p>

<p><b>Joshua Radin</b> (born June 14, 1974) is an American singer-songwriter. He has recorded nine studio albums, and his songs have been used in a number of films and TV series. His most successful album, <i>Simple Times</i>, was released in 2008.
</p>"
Selena Gomez & The Scene,Los Angeles,2008–2012,Selena Gomez & the Scene,"<p class=""mw-empty-elt"">

</p>
<p><b>Selena Gomez &amp; the Scene</b> was an American pop rock band from Los Angeles, California. Formed in 2008, its last lineup consisted of vocalist Selena Gomez, drummer Greg Garman, bassist Joey Clement, keyboardist Dane Forrest, and guitarist Drew Taubenfeld. The band released three studio albums, seven singles and nine music videos.
</p><p>Their debut album, <i>Kiss &amp; Tell</i>, was released on September 29, 2009, debuting at No. 9 on the US <i>Billboard</i> 200 and earning the band a Gold certification from the Recording Industry Association of America (RIAA) in March 2010. The second single from the album, ""Naturally"", reached the top thirty in the U.S., as well as the top twenty in New Zealand, the United Kingdom, Ireland, Canada, and Germany. The song has been certified Platinum in the U.S. and Canada. As of 2012, <i>Kiss &amp; Tell</i> has sold over 900,000 copies in the U.S.
</p><p>The band's second album, <i>A Year Without Rain</i>, was released on September 17, 2010, debuting at No. 4 on the U.S. <i>Billboard 200</i> and earning the band a second RIAA Gold certification in January 2011. Two singles were released from the album, ""Round &amp; Round"" and ""A Year Without Rain"". As of 2012, the album has sold over 800,000 copies in the U.S.
</p><p>The band's third album, <i>When the Sun Goes Down</i>, was released on June 28, 2011, debuting at No. 4 on the U.S. <i>Billboard 200</i>. Its lead single ""Who Says"" received its radio premiere on <i>On Air with Ryan Seacrest</i> on March 8, 2011, followed by a music video premiere on Disney Channel on March 11. The song has been certified Platinum in the U.S. The second single from the album, ""Love You like a Love Song"", was released on June 17, 2011, and was certified 4× Platinum in the U.S. The third and final single from the album was ""Hit the Lights"". The band disbanded when Gomez began focusing on her acting career and solo music career.
</p><p>The band has won numerous awards and accolades since their debut. They have won a total of four Poptastic Awards, including the Best Duo or Group Award. The band has also been nominated for five awards at the MuchMusic Video Awards, and two MTV Europe Music Awards. In 2011, the band won its first People's Choice Award for Breakout Group. In 2012, ""Love You Like a Love Song"" was nominated for an MTV Video Music Award, giving the band their first VMA nomination. The band has also won a total of six Teen Choice Awards since 2010, including Choice Music: Group and Choice Music: Love Song for ""Love You like a Love Song"".</p>"
Nouvelle Vague,Paris,2003&ndash;present,Nouvelle Vague (band),"<p><b>Nouvelle Vague</b> is a French cover band led by musicians Olivier Libaux and Marc Collin. Their name means ""new wave"" in French, and refers simultaneously to the French New Wave cinema movement of the 1960s, to the new wave music movement of the 1970s and 1980s, which provides many of the songs that the band covers, and to bossa nova (Portuguese for ""new wave""), a musical style that the band frequently uses in its arrangements.</p><p>The group's recordings and live performances have featured a large rotating cast of mostly female vocalists. Several of the artists who have performed with the band have also had successful solo careers, including Camille, Phoebe Killdeer, Mélanie Pain, and Nadéah Miranda. Libaux died in 2021 but the band continue to tour.
</p>


"
Disclosure,Reigate,2010–present,Disclosure (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Disclosure</b> is an English electronic music duo consisting of brothers Howard (born 11 May 1994) and Guy Lawrence (born 25 May 1991). They grew up in Reigate, Surrey. Their debut studio album, <i>Settle</i>, released on 3 June 2013, by PMR Records, was nominated for Best Dance/Electronica Album at the 2014 Grammy Awards. They released a second studio album, <i>Caracal</i>, on 25 September 2015 which was also nominated for Best Dance/Electronic Album at the 2016 Grammy Awards. Their third studio album, <i>Energy</i>, was released on 28 August 2020, and was nominated for Best Dance/Electronic Album at the 2021 Grammy Awards, alongside the fourth single from the album, ""My High"", which was nominated for Best Dance Recording.
</p>


"
Lady Antebellum,Nashville,2006–present,Lady A,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>Lady A</b>  (formerly <b>Lady Antebellum</b>) is an American country music group formed in Nashville, Tennessee, in 2006. The group is composed of Hillary Scott (lead and background vocals), Charles Kelley (lead and background vocals, guitar), and Dave Haywood (background vocals, guitar, piano, mandolin). Scott is the daughter of country music singer Linda Davis, and Kelley is the brother of pop singer Josh Kelley. The band abbreviated the name to ""Lady A"" in June 2020 during the George Floyd protests in an attempt to blunt the name's associations with slavery and the Antebellum South, inadvertently causing a dispute with black blues and gospel singer Anita White, who had been using the name Lady A for more than 20 years.
</p><p>The group made its debut in 2007 as guest vocalists on Jim Brickman's single ""Never Alone"", before signing to Capitol Nashville. Lady A has released six albums for Capitol: <i>Lady Antebellum</i>, <i>Need You Now</i>, <i>Own the Night</i>, <i>Golden</i>, <i>747</i>, <i>Heart Break</i>, plus one Christmas album (<i>On This Winter's Night</i>), and one for BMLG Records: <i>Ocean</i>. The first three albums are certified platinum or higher by the Recording Industry Association of America (RIAA). The albums have produced sixteen singles on the Hot Country Songs and Country Airplay charts, of which nine have reached number one. The longest-lasting number one single is ""Need You Now"", which spent five weeks at that position in 2009; both that song and 2011's ""Just a Kiss"" reached number one on the Adult Contemporary charts.
</p><p>Lady A was awarded Top New Duo or Group by the Academy of Country Music and New Artist of the Year by the Country Music Association in 2008. The band was nominated for two Grammy Awards at the 51st Annual Grammy Awards and two more at the 52nd Annual Grammy Awards, winning Best Country Performance by Duo or Group with Vocals for ""I Run to You"". It was awarded Top Vocal Group, Song of the Year (""Need You Now""), and Single of the Year (""Need You Now"") at the 44th ACM Awards on April 18, 2010. It won five awards at the 53rd Annual Grammy Awards, including Song of the Year and Record of the Year for ""Need You Now"". At the 54th Annual Grammy Awards, Lady A won the award for Best Country Album for <i>Own the Night</i>. By August 2013, the group had sold more than 12.5 million digital singles and 10 million albums in the United States.</p>"
